ref_id,ref
80,"{'full': 'Marciniak, A.; Wlazlo, M. (2013) J. Chem. Thermodyn. 60, 57-62.', 'title': 'Activity coefficients at infinite dilution and physicochemical properties  for organic solutes and water in the ionic liquid 1-(2-methoxyethyl)-  1-methylpyrrolidinium trifluorotris(perfluoroethyl)phosphate'}"
81,"{'full': 'Marciniak, A.; Wlazlo, M. (2015) J. Chem. Thermodyn. 89, 245-250.', 'title': 'Activity coefficients at infinite dilution, physicochemical and thermodynamic properties for organic solutes and water in the ionic liquid ethyl-dimethyl-(2-methoxyethyl)ammonium trifluorotris-(perfluoroethyl)phosphate'}"
82,"{'full': 'Marcinkowski, L.; Kloskowski, A.; Namiesnik, J. (2014) J. Chem. Thermodyn. 71, 84-90.', 'title': 'Measurement of activity coefficients at infinite dilution of organic solutes in the ionic liquid 1-hexyl-1,4-diaza[2.2.2]bicyclooctanium bis(trifluoromethylsulfonyl)imide using gas-liquid chromatography'}"
83,"{'full': 'Marsh, K. N.; Brennecke, J. F.; Chirico, R. D.; Frenkel, M.; Heintz, A.; Magee, J. W.; Peters, C. J.; Rebelo, L. P. N.; Seddon, K. R. (2009) Pure Appl. Chem. 81(5), 781-790.', 'title': 'Thermodynamic and thermophysical properties of the reference ionic liquid: 1-Hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]amide (including mixtures). Part 1. Experimental methods and results (IUPAC Technical Report)'}"
84,"{'full': 'Mutelet, F.; Alonso, D.; Ravula, S.; Baker, G. A.; Jiang, B.; Acree Jr., W. E. (2016) J. Mol. Liq. 222, 295-312.', 'title': 'Infinite dilution activity coefficients of solutes dissolved in anhydrous alkyl(dimethyl)isopropylammonium bis(trifluoromethylsulfonyl)imide ionic liquids containing functionalized- and nonfunctionalized-alkyl chains'}"
85,"{'full': 'Mutelet, Fabrice; Djebouri, Hamid; Baker, Gary A.; Ravula, Sudhir; Jiang, Bihan; Tong, Xin; Woods, Delani; Jr., William E. Acree (2017) J. Mol. Liq. 242, 550-559.', 'title': 'Study of benzyl- or cyclohexyl-functionalized ionic liquids using inverse gas chromatography'}"
86,"{'full': 'Mutelet, F.; Ravula, S.; Baker, G. A.; Woods, D.; Tong, X.; Acree, Jr., W. E. (2018) J. Solution Chem. 47(2), 308-335.', 'title': 'Infinite Dilution Activity Coefficients and Gas-to-Liquid Partition Coefficients of Organic Solutes Dissolved in 1-Benzylpyridinium Bis(Trifluoromethylsulfonyl)Imide and 1-Cyclohexylmethyl-1-Methylpyrrolidinium Bis(Trifluoromethylsulfonyl)Imide'}"
87,"{'full': 'Mutelet, F.; Hussard, C.; Baker, G. A.; Zhao, H.; Churchill, B.; Acree, Jr., W. E. (2020) J. Mol. Liq. 304, 112786.', 'title': 'Characterization of the solubilizing ability of short-chained glycol-grafted ammonium and phosphonium ionic liquids'}"
88,"{'full': 'Mutelet, F.; Baker, G. A.; Zhao, H.; Churchill, B.; Acree, Jr., W. E. (2020) J. Mol. Liq. 317, 113983.', 'title': 'Development of Abraham model correlations for short-chain glycol-grafted imidazolium and pyridinium ionic liquids from inverse gas-chromatographic measurements'}"
89,"{'full': 'Olivier, E.; Letcher, T. M.; Naidoo, P.; Ramjugernath, D. (2010) J. Chem. Thermodyn. 42(5), 646-650.', 'title': 'Activity coefficients at infinite dilution of organic solutes in the ionic liquid 1-octyl-3-methylimidazolium hexafluorophosphate using gas liquid chromatography at T = (313.15, 323.15, and 333.15) K'}"
